Datetime,Open,High,Low,Close,Adj Close,Volume
2024-04-24 09:00:00+09:00,37600.0,38000.0,37550.0,38000.0,38000.0,2244.6
2024-04-24 09:01:00+09:00,38000.0,38050.0,37850.0,38000.0,38000.0,1247.0
2024-04-24 09:02:00+09:00,37950.0,38000.0,37800.0,37800.0,37800.0,320.0
2024-04-24 09:03:00+09:00,37800.0,37800.0,37700.0,37700.0,37700.0,235.0
2024-04-24 09:04:00+09:00,37750.0,37750.0,37700.0,37700.0,37700.0,22.0
2024-04-24 09:05:00+09:00,37700.0,37750.0,37700.0,37750.0,37750.0,341.0
2024-04-24 09:06:00+09:00,37700.0,37750.0,37550.0,37600.0,37600.0,1059.0
2024-04-24 09:07:00+09:00,37650.0,37700.0,37650.0,37700.0,37700.0,64.0
2024-04-24 09:08:00+09:00,37750.0,37900.0,37750.0,37900.0,37900.0,393.0
2024-04-24 09:09:00+09:00,37900.0,37900.0,37800.0,37800.0,37800.0,117.0
2024-04-24 09:10:00+09:00,37800.0,37900.0,37750.0,37800.0,37800.0,76.0
2024-04-24 09:11:00+09:00,37850.0,37850.0,37850.0,37850.0,37850.0,99.0
2024-04-24 09:12:00+09:00,37800.0,38150.0,37800.0,38150.0,38150.0,1102.0
2024-04-24 09:13:00+09:00,38150.0,38150.0,38100.0,38150.0,38150.0,446.0
2024-04-24 09:14:00+09:00,38000.0,38000.0,37800.0,37800.0,37800.0,768.0
2024-04-24 09:15:00+09:00,38000.0,38000.0,37850.0,37850.0,37850.0,585.0
2024-04-24 09:16:00+09:00,37850.0,37850.0,37800.0,37800.0,37800.0,325.0
2024-04-24 09:17:00+09:00,37800.0,37800.0,37700.0,37700.0,37700.0,230.0
2024-04-24 09:18:00+09:00,37700.0,37700.0,37650.0,37650.0,37650.0,403.0
2024-04-24 09:21:00+09:00,37650.0,37800.0,37650.0,37750.0,37750.0,3.6
2024-04-24 09:22:00+09:00,37800.0,37800.0,37750.0,37750.0,37750.0,2.0
2024-04-24 09:24:00+09:00,37750.0,37800.0,37650.0,37750.0,37750.0,43.0
2024-04-24 09:26:00+09:00,37750.0,37750.0,37700.0,37700.0,37700.0,7.0
2024-04-24 09:27:00+09:00,37650.0,37650.0,37650.0,37650.0,37650.0,213.0
2024-04-24 09:28:00+09:00,37650.0,37700.0,37650.0,37700.0,37700.0,12.0
2024-04-24 09:31:00+09:00,37700.0,37700.0,37700.0,37700.0,37700.0,151.0
2024-04-24 09:32:00+09:00,37700.0,37800.0,37700.0,37800.0,37800.0,183.6
2024-04-24 09:33:00+09:00,37750.0,37750.0,37750.0,37750.0,37750.0,102.0
2024-04-24 09:34:00+09:00,37750.0,37750.0,37650.0,37650.0,37650.0,525.0
2024-04-24 09:35:00+09:00,37700.0,37700.0,37650.0,37650.0,37650.0,16.0
2024-04-24 09:36:00+09:00,37750.0,37850.0,37750.0,37850.0,37850.0,121.0
2024-04-24 09:37:00+09:00,37750.0,37850.0,37750.0,37850.0,37850.0,46.0
2024-04-24 09:38:00+09:00,37750.0,37750.0,37750.0,37750.0,37750.0,2.0
2024-04-24 09:39:00+09:00,37800.0,38000.0,37800.0,37950.0,37950.0,477.0
2024-04-24 09:40:00+09:00,37900.0,37900.0,37900.0,37900.0,37900.0,82.8
2024-04-24 09:41:00+09:00,37900.0,37900.0,37900.0,37900.0,37900.0,46.0
2024-04-24 09:42:00+09:00,37850.0,37850.0,37850.0,37850.0,37850.0,52.0
2024-04-24 09:43:00+09:00,37850.0,37850.0,37800.0,37800.0,37800.0,345.0
2024-04-24 09:44:00+09:00,37800.0,37850.0,37800.0,37800.0,37800.0,231.0
2024-04-24 09:45:00+09:00,37850.0,37850.0,37850.0,37850.0,37850.0,50.0
2024-04-24 09:46:00+09:00,37900.0,37950.0,37900.0,37950.0,37950.0,981.0
2024-04-24 09:47:00+09:00,37950.0,37950.0,37950.0,37950.0,37950.0,617.4
2024-04-24 09:48:00+09:00,37950.0,38000.0,37950.0,38000.0,38000.0,343.0
2024-04-24 09:49:00+09:00,38000.0,38000.0,38000.0,38000.0,38000.0,253.0
2024-04-24 09:50:00+09:00,38000.0,38150.0,38000.0,38150.0,38150.0,449.0
2024-04-24 09:51:00+09:00,38100.0,38150.0,38100.0,38150.0,38150.0,247.0
2024-04-24 09:52:00+09:00,38100.0,38100.0,38100.0,38100.0,38100.0,2.0
2024-04-24 09:53:00+09:00,38100.0,38100.0,38100.0,38100.0,38100.0,11.0
